"filename", "language", "JavaScript", "CSS", "XML", "JavaScript React", "JSON", "comment", "blank", "total"
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/App.css", "CSS", 0, 41, 0, 0, 0, 0, 11, 52
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/App.js", "JavaScript", 29, 0, 0, 0, 0, 0, 7, 36
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/App.test.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/FormWrapper.js", "JavaScript", 47, 0, 0, 0, 0, 15, 8, 70
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/GridGenerator.jsx", "JavaScript React", 0, 0, 0, 31, 0, 0, 2, 33
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/InfoDecoration.js", "JavaScript", 68, 0, 0, 0, 0, 12, 8, 88
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/IngredientSection.js", "JavaScript", 208, 0, 0, 0, 0, 22, 31, 261
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/Loading.js", "JavaScript", 80, 0, 0, 0, 0, 16, 12, 108
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/Login.js", "JavaScript", 98, 0, 0, 0, 0, 37, 19, 154
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/NotFound.js", "JavaScript", 34, 0, 0, 0, 0, 0, 5, 39
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/ProtectedRoute.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/Register.js", "JavaScript", 129, 0, 0, 0, 0, 31, 23, 183
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/SingleRecipe.js", "JavaScript", 232, 0, 0, 0, 0, 13, 16, 261
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/Template.js", "JavaScript", 23, 0, 0, 0, 0, 12, 7, 42
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Components/Verification.js", "JavaScript", 100, 0, 0, 0, 0, 13, 12, 125
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Pages/HomePage.js", "JavaScript", 102, 0, 0, 0, 0, 12, 7, 121
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Pages/LoginPage.js", "JavaScript", 139, 0, 0, 0, 0, 13, 12, 164
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Pages/RandomRecipePage.js", "JavaScript", 91, 0, 0, 0, 0, 12, 13, 116
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Pages/Recipe.js", "JavaScript", 367, 0, 0, 0, 0, 16, 40, 423
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Pages/RecipesPage.js", "JavaScript", 203, 0, 0, 0, 0, 11, 19, 233
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Pages/RecommenedPage.js", "JavaScript", 23, 0, 0, 0, 0, 12, 7, 42
"/Users/gayuru/Desktop/RMIT/Sem 6 '20/Cloud Computing/A2/Munchys/react/src/Views/PublicView.js", "JavaScript", 36, 0, 0, 0, 0, 1, 7, 44
